Serial number,Price,Area(house sq.ft),Location
764,175000000,1903,Thane West
765,86500000,1376,Napeansea Road
766,120000000,3600,Worli
767,75000000,1706,Mahalaxmi
768,2600000,686,Nala Sopara
769,9000000,1005,Thane West
770,7500000,1220,Kalyan West
771,11000000,600,Borivali East
772,22500000,1189,Borivali East
773,14500000,1000,Dahisar West
774,14500000,1100,Nerul
775,13000000,1100,Nerul
776,6500000,650,Nerul
777,7000000,400,Kandivali East
778,7800000,1055,Sector-3 Ulwe
779,5100000,710,Sector-3 Ulwe
780,9000000,417,Mulund West
781,17000000,999,Natakwala Lane
782,21500000,1080,Borivali East
783,32000000,1300,Kandivali West
784,5300000,1100,Taloja
785,3800000,738,Taloja
786,16000000,900,Link Road
787,23000000,1500,Borivali East
788,16299999,900,Borivali West
789,13899999,800,Devidas Cross Lane
790,21000000,900,Soniwadi Road
791,20000000,900,Haridas Nagar
792,21000000,900,Shimpoli
793,18500000,1200,TPS Road
794,20500000,900,Off Shimpoli road
795,12500000,510,Wadala
796,11000000,670,Borivali West
797,150000000,2710,Mahalaxmi
798,19500000,800,Worli
799,55000000,1388,Lower Parel
800,45000000,1100,Worli
801,400000000,3638,Worli
802,70000000,1700,Worli
803,85000000,1700,Prabhadevi
804,35000000,2450,Kandivali East
805,18000000,1165,Kandivali East
806,11200000,1025,Kharghar
807,3100000,450,Rustomjee Global City
808,7500000,900,Sunil Nagar
809,4500000,603,Sector 30 Kharghar
810,13500000,1340,Sector 19 Kharghar
811,16000000,1550,Sector 10
812,11000000,1160,Sector 10
813,6500000,650,Sector 20 Kharghar
814,5600000,610,Sector 20 Kharghar
815,7200000,860,Sector 10
816,5500000,640,Sector 20 Kharghar
817,6000000,560,Sector 15 Kharghar
818,13200000,1260,Sector 12 A
819,6000000,850,Sector 19 Kharghar
820,11500000,1095,Sector 18
821,15000000,1500,Sector 18
822,5000000,500,Sector13 Khanda Colony
823,5600000,635,Sector 19 Kharghar
824,4600000,610,Sector16 Airoli
825,9500000,1065,Ranjanpada
826,12700000,1251,Sector 15
827,9500000,1065,Sector 35G
828,14000000,1320,Sector 18
829,10500000,1136,Sector 5
830,9900000,1125,Sector 10
831,10000000,1098,Sector 19 Kharghar
832,13000000,1300,Sector 20 Kharghar
833,7800000,735,Sector 35I Kharghar
834,4200000,640,Sector35D Kharghar
835,9800000,1090,Sector 35I Kharghar
836,4500000,800,Sector 30 Kharghar
837,15000000,1300,Sector 12 Kharghar
838,5300000,560,Sector 20 Kharghar
839,16000000,1400,Sector 20 Kharghar
840,11100000,1117,Sector 20 Kharghar
841,12700000,1125,Sector 15
842,6000000,675,Sector35D Kharghar
843,11000000,1100,Sector 20 Kharghar
844,5000000,650,Sector34 A Kharghar
845,6500000,675,Sector 19 Kharghar
846,5500000,450,Sector16 Airoli
847,6000000,560,Sector 15
848,5500000,650,Sector 30
849,10500000,1075,Sector 35G
850,7000000,735,Sector 35I Kharghar
851,4600000,600,Sector 36 Kharghar
852,8000000,1000,Sector 20 Kharghar
853,10600000,1070,Sector 10
854,11500000,1182,Sector 11 Belapur
855,10500000,911,Sector 20 Kharghar
856,12700000,1125,Sector 15 Kharghar
857,9900000,1025,Sector-34B Kharghar
858,3800000,555,Dombivali East
859,3600000,600,Dombivali East
860,3700000,550,Dombivali East
861,3000000,600,Dombivali East
862,7600000,950,Dombivali East
863,33000000,1472,Kandivali West
864,2100000,370,Virar East
865,8000000,715,Nerul
866,21000000,1771,Roadpali
867,25500000,1650,Goregaon West
868,16000000,1650,Sector-50 Seawoods
869,112500000,1340,Napeansea Road
870,5500000,690,Ulwe
871,13000000,816,Borivali West
872,8000000,810,Mumbai Highway
873,8500000,1000,Sector 36 Kharghar
874,14500000,1250,Sector 18 Kharghar
875,6990000,473,Thane West
876,8500000,1000,Sector 36 Kharghar
877,14000000,1016,Sector 18 Kharghar
878,10000000,785,Mumbai Highway
879,13000000,1290,Sector 18 Kharghar
880,11500000,1227,Sector 35I Kharghar
